Team Name,Points,Team Id
4 Mystic Bytes,4(30 points)
404 Found!,4(40 points)
404 Not Found ,4
9/11,4
Aditya Banerjee ,2
AIDS BANDITS,4(40 points)
Aladdin ka maika ,3
Algorithm Avengers,4
Alibaba ke chor,4
Alpha Males,4
AltF4,3
Amar Akbar Anthony ,3
Angry Birds,4
Aplha,2
Arabian Adventurers ,4(40 points)
Arora,2
Avengers ,2
Avocado ,3
Awesome Threesome,3(40 points)
Befikrs,4
Black Flash,3
Bloodbyte,2(40 points)
Bomb blast,4
Bomb Squad,4(40 points)
Bomber squad,4
Brainstromers,4
Bug Busters,4
Bullzar,4  40 points
ByteMe ,4
C4,4(40 poinnts)
Camel crew,3(10 points)
CaseBlitz,2(40 points)
Celestia Warriors ,4
Celestia Winners,2
Celestial Caliphs,2
Champs,4
Chaotic 4,4
Chhota Bheem,2
Chitta Warriors ,4
ChronoBytes,4
Cloud Crew,4(40 points)
Cod Crushers,4(40 points)
Code Bytes,4
Code Storm,4
CodePhoenix ,4(40 points)
Cosmic Crew,2
Crescent Four,4(40 points)
ctrl+4,4
Debuggers,4
Decrypters ,3
Demogorgon ke bhache ,4
Desert Dominators,4
Dhokla Squad,4
Djinn coders,3(20 points)
DJS Procastinators,3(40 points)
Double trouble,2
Double trouble ,2
Dragons,3
Dragons,3
Dreamcatchers,4(30 points)
Dune Dynamos,4
Dune stars,4
Dynamic Trio ⚡,3 (40 points)
Error4O4,4 points)(
Fab four ,4(40 points)
Fantastic 4,4
Fantastic four,4
Fantastic four ,4
Fast and Curious,3 points)40(
Flames,4
Flying Carpets Co.,2
Friends ,4(40 points)
Gamblers,4
Genie Force Four,4(40 points)
Genie-us,4
Genie's Code,3(40 points)
Genies of Syntax,4
GitGoneWild ,4
Guardians of the Lamp,4(30 points)
Gurls,2
Hamse na ho paye,4
Harmony,4
HERETICS,4 ponints( 40
Idea Igniters,4
Illogical boys ,3
Infinite Illusion  ,3
Innovatrix,4
Jerry Drat,4(30 points)
John Doe Club ,4(40 points)
Jsj,Nejs
Jugaadu Langoor,4(40 points)
JUSTICE GANG,4
K3J,4(40)
King maker,3
Knight Riders,4(40 points)
Lost verion,3
Masala dosa,4
mavericks,4
MCP,2
Mirayah ,4(40 points)
MYSTIC GENIES ,4
NA,NA
Neon squad,4
No Mercy,4
Nonchalant ,4
Nova,4 (10 points)
NPR,3
Null,4
Onlyfriends ,4(40 points)
Panthers,3
Pearls of Arabia ,3 (20points)
Phantom,3 points) 40(
Pirates,4
Problem Busters,4
Quad squad,4
Quadra,4
Racoons,2
Raju Electricians ,4
Recursion of regrets,3
Red Devils,4 (40 points)
RisingStars,3(40 points)
sak,3 (10 points)
SAKI,4(40 point)
Sandbyte coders ,3 (40points)
Serial chillers,4(40 points)
Shawarma gang,4
Shreyas Bhagat ,4
Singularity,4(40 points)
Solitaire_Grandmaster ,2
Soul Celestia ,4
Spark squad,4
SSY (Sassy Smart Youth) ,3(40 points)
Starlit Nomads,4(40 points)
Starter squad,4
Stratosphere,4
Strawhats,4
Supernova Squad,4(40 points)
Synergy,4(30 points)
Syntax Slayers,3
System Overlords,4(40 points)
Tapriwala,4
Team AYU,4
Team backbenchers ,2
Team Codefrenzy,4
Team Diamonds ,4
Team diamonds 💎,4(40 points)
Team dimonds,4(40 points)
Team J’s,4
TEAM NULL ,4(40 points)
Team Oasis ,4
Team Pookies,4
Team Prism,4(40 points)
Team rocket,4(10 points)
TEAM ROCKET,4
Team Rocket,4
Team rocket ,4 points)40(
Team Rocket🚀🚀🚀,4(10 points)
Team Spark,3
Team Spiral,3(40 points)
Tech Giants,4(40 points)
Tech Team,4(40 points)
Technologia,4
Terror Trio,4
The B0YS,4
The Celestials,4
The CodeTouchers,4 (40 points)
The cosmic four ,4
The Decrypters ,4
The Desert Royals,4(40 points)
the desert wanderers ,4
The Drama Defenders ,4
The Failed Pullouts ,4
The Fantastic Four,4
The FOURmidables,4
The Game changers ,3
The Gladiators,4(20 pounts)
The Goal diggers ,4
The Golden Lamp,4
The Invincibles ,2
The Key Hunters,4(40 points)
The Khalifas,4(40 points)
The Knight Riders,4
The Minions ,4
THE OG'S,3
The Quad squad ,4
THE STOICS,3(10 points)
The Strikers,4
The Teen Titans ,3(40 points)
The Three Hosrsemen,3
The Tri-Force,3(40 points)
The Winners,4
TheFirstKings,4(40 points)
thehood,4
therapistcats,4
Three Musketeers,3
Thria,3
Tigadam ,3
Triple Chaos,3(40 points)
Triple helix,3(40 points)
Troops of Persia,4(40 points)
TSTS,4
twobraincells,4
Unknown Buzzards ,3
Variable ,2
Vibecoders,4
VOID WALKERS,4
VSRR Girls,4
Wanderers ,4
