Team Name,Points,Team Id
4 Mystic Bytes,4(30 points),1000
404 Found!,4(40 points),1001
404 Not Found,4,1002
9/11,4,1003
Aditya Banerjee,2,1004
AIDS BANDITS,4(40 points),1005
Aladdin ka maika,3,1006
Algorithm Avengers,4,1007
Alibaba ke chor,4,1008
Alpha Males,4,1009
AltF4,3,1010
Amar Akbar Anthony,3,1011
Angry Birds,4,1012
Aplha,2,1013
Arabian Adventurers,4(40 points),1014
Arora,2,1015
Avengers,2,1016
Avocado,3,1017
Awesome Threesome,3(40 points),1018
Befikrs,4,1019
Black Flash,3,1020
Bloodbyte,2(40 points),1021
Bomb blast,4,1022
Bomb Squad,4(40 points),1023
Bomber squad,4,1024
Brainstromers,4,1025
Bug Busters,4,1026
Bullzar,4  40 points,1027
ByteMe,4,1028
C4,4(40 poinnts),1029
Camel crew,3(10 points),1030
CaseBlitz,2(40 points),1031
Celestia Warriors,4,1032
Celestia Winners,2,1033
Celestial Caliphs,2,1034
Champs,4,1035
Chaotic 4,4,1036
Chhota Bheem,2,1037
Chitta Warriors,4,1038
ChronoBytes,4,1039
Cloud Crew,4(40 points),1040
Cod Crushers,4(40 points),1041
Code Bytes,4,1042
Code Storm,4,1043
CodePhoenix,4(40 points),1044
Cosmic Crew,2,1045
Crescent Four,4(40 points),1046
ctrl+4,4,
Debuggers,4,1048
Decrypters,3,1049
Demogorgon ke bhache,4,1050
Desert Dominators,4,1051
Dhokla Squad,4,1052
Djinn coders,3(20 points),1053
DJS Procastinators,3(40 points),1054
Double trouble,2,1055
Double trouble,2,1055
Dragons,3,1057
Dragons,3,1057
Dreamcatchers,4(30 points),1059
Dune Dynamos,4,1060
Dune stars,4,1061
Dynamic Trio ⚡,3 (40 points),1062
Error4O4,4 points)(,1063
Fab four,4(40 points),1064
Fantastic 4,4,1065
Fantastic four,4,1066
Fantastic four,4,1066
Fast and Curious,3 points)40(,1068
Flames,4,1069
Flying Carpets Co.,2,1070
Friends,4(40 points),1071
